No,theme,title_en,desc_en,title_ja,desc_ja,copy_right,ai_flag,taste_category,character_category,zip_path
11,懇親会・社内行事編,Fake Joy for Company Events,Showing excessive joy for office parties you absolutely don't want to attend.,死んだ目のサラリーマン【社内行事編】,本当は1秒でも早く帰りたい社内イベントに対し、過剰なまでの喜びを表現する接待スタンプです。,©ryo,TRUE,面白い・ネタ,男性キャラ,
12,後輩指導・Z世代対応編,Mentoring: The Space Cat State,"A ""Wonderful!"" response to actions you don't understand at all.",死んだ目のサラリーマン【理解不能編】,後輩の予想外な言動に対し、脳内が宇宙猫状態になりながらも「素晴らしいね」と褒めるスタンプです。,©ryo,TRUE,シュール,男性キャラ,
13,丸投げ・お願い編,The Art of Passing Work,"Politely passing your work to others with a bright, suspicious smile.",死んだ目のサラリーマン【丸投げ依頼編】,「これ、お願いします！」と満面の笑みで自分の仕事をパスする、低姿勢かつ大胆なスタンプセット。,©ryo,TRUE,面白い・ネタ,男性キャラ,
14,リモートワーク・WEB会議編,Remote Work: The Hidden Reality,I can hear you! while lying down in pajamas below the camera's view.,死んだ目のサラリーマン【リモート編】,「聞こえてます」と言いつつ、画面の外ではパジャマ姿で寝転がっているリモートワークあるあるスタンプ。,©ryo,TRUE,面白い・ネタ,男性キャラ,
15,体調不良・有休もぎ取り編,Paid Leave Victory Pose,Apologizing for being sick while doing a secret victory pose in bed.,死んだ目のサラリーマン【有休奪取編】,「ご迷惑をおかけします」と連絡しつつ、布団の中でガッツポーズする有休取得の勝利者スタンプ。,©ryo,TRUE,面白い・ネタ,男性キャラ,
16,辞めたい・転職活動編,I'll Follow You Forever (Lies),Searching for jobs in secret while pledging eternal loyalty to the boss.,死んだ目のサラリーマン【一生ついていく編】,「一生ついていきます！」と言いつつ、裏では求人票をチェックしている転職希望者の本音スタンプ。,©ryo,TRUE,面白い・ネタ,男性キャラ,
17,評価面談・ボーナス査定編,The Bonus Despair,Politely vowing to work harder while collapsing after seeing your bonus.,死んだ目のサラリーマン【査定に絶望編】,査定結果を見て膝から崩れ落ちながらも、「今後も精進します」と震える声で答えるスタンプです。,©ryo,TRUE,面白い・ネタ,男性キャラ,
18,クレーム対応・サンドバッグ編,The Soulless Complaint Handler,"Gratefully accepting ""valuable feedback"" while your soul leaves your body.",死んだ目のサラリーマン【魂のクレーム編】,魂が抜けかけた状態で、理不尽な苦情にも「貴重なご意見ありがとうございます」と返す鉄の心スタンプ。,©ryo,TRUE,敬語・丁寧,男性キャラ,
19,連休明け・五月病編,Post-Holiday Burnout,Let's do our best while feeling like a pile of white ash.,死んだ目のサラリーマン【連休明け編】,真っ白な灰になりながら「今日も一日頑張りましょう」と無理やり自分を鼓舞する、連休明け専用スタンプ。,©ryo,TRUE,挨拶,男性キャラ,
20,出張・満員電車・物理ダメージ編,The Commuter's Physical Damage,I've arrived safely while crawling on the floor from exhaustion.,死んだ目のサラリーマン【満員電車編】,満員電車や長距離出張でボロボロになり、這いつくばりながら「無事到着しました」と報告するスタンプ。,©ryo,TRUE,シュール,男性キャラ,
1,ランチ・空腹報告,Hungry Salaryman Huge Font,Report your lunch break with huge texts! Perfect for sharing your 'I'm starving' feelings and delicious food photos with friends every day.,【デカ文字】腹減りリーマンの飯テロ・ランチ報告,「お腹空いた！」「ランチ行こう」など、お昼休みのワクワクをデカ文字で！毎日の飯テロ報告や、同僚をランチに誘う時に即使える、食欲旺盛なサラリーマン用スタンプ。,©ryo,TRUE,面白い・ネタ,男性キャラ,
2,通勤地獄の叫び,Commuter Hell Huge Font,Huge text for those struggling with overcrowded trains! Express your daily commute fatigue. 'Too crowded' and 'Still on the train' at a glance.,激混み電車・満員リーマンのデカ文字通勤日記,「電車遅れてる」「もう着く」など、過酷な通勤ラッシュでの状況をデカ文字で。満員電車でスマホを打つのが辛い時も、タップ一つで今の状況をスマートに報告できます！,©ryo,TRUE,シュール,男性キャラ,
3,退勤・定時ダッシュ,Go Home Promptly Huge Font,Instant departure! Huge fonts for leaving on time and heading home. Perfect for declaring your'I'm leaving' and feelings of freedom after work.,即帰宅！定時ダッシュを決めるサラリーマンの叫び,「定時で上がります！」「帰還！」など、仕事終わりの解放感をデカ文字でアピール！家族への帰宅連絡や、定時ダッシュの決意表明に最適。毎日の「お疲れ様」をより楽しく。,©ryo,TRUE,挨拶,男性キャラ,
4,残業と深夜の戦い,Late Night Overtime Huge Font,When overtime never ends! Huge fonts for those working late at night. Express your 'Still working' and 'I want to sleep' feelings to coworkers.,残業確定…深夜の社畜リーマン限界突破デカ文字,「今日終わらない」「泊まりです」など、終わりの見えない残業の苦しみをご近所や同僚に代弁。深夜の変なテンションも、デカ文字ならよりダイレクトに伝わり、励まし合えます。,©ryo,TRUE,シュール,男性キャラ,
5,締め切りとパニック,Deadline Panic Huge Font,Emergency! Huge text for when deadlines are approaching. Express your panic and request for more time. Essential for busy office work life.,締め切り間近！パニック状態のサラリーマン救済,「まだ終わってません」「ヤバいです」など、締め切り前の修羅場をデカ文字で表現。焦る気持ちをキャラクターが代わりに叫んでくれるので、少しだけ肩の力が抜けるはずです。,©ryo,TRUE,面白い・ネタ,男性キャラ,
6,魂の脱け殻,Soul Leaving Body Huge Font,When your soul leaves your body from mental exhaustion. Huge font for those completely burnt out. Perfect for expressing a state of emptiness.,精神崩壊…魂が抜けたサラリーマンの白目デカ文字,「なにもしたくない」「無…」など、心がポッキリ折れた時の状態をデカ文字化。文字を打つ気力もない時、今の虚無な感情を画像一枚で正確にシュールに伝えられます。,©ryo,TRUE,シュール,男性キャラ,
7,平日ルーチンと感情,Weekly Cycle Huge Font,Huge text for Monday depression and Friday hype! Express the emotional roller coaster of a salaryman from Monday morning to Friday night.,月曜の絶望と金曜の歓喜！社畜の喜怒哀楽デカ文字,「月曜日いかないで」「明日から休みだ！」など、一週間の感情の波をデカ文字で。社畜なら誰もが共感する一喜一憂を代弁してくれる、日々の会話を彩る共感スタンプです。,©ryo,TRUE,面白い・ネタ,男性キャラ,
8,カフェインと命の削り方,Caffeine Addiction Huge Font,Huge text for those fueled by caffeine and energy drinks. Express your struggle to stay awake. 'I need more coffee' for every morning.,カフェイン中毒！エナドリで命を削るリーマンの叫び,「エナドリ投入」「コーヒー飲まないと無理」など、カフェインに頼る社畜の日常をデカ文字で。眠気との戦いや、気合を入れる瞬間をコミカルに、かつ実用的に伝えます。,©ryo,TRUE,シュール,男性キャラ,
9,付き合い・飲み会,Nomikai Pressure Huge Font,For business dinner and coworkers' drinks! Huge fonts for when you're forced to socialize or want to decline. Essential for office relationships.,飲み会強制…断りたいけど行かなきゃなリーマン用,「強制参加…」「二次会行きます」など、サラリーマンの付き合いにまつわる一言。断りにくい誘いへのさりげないアピールや、宴会の連絡調整に。使い勝手抜群の社交スタンプ。,©ryo,TRUE,挨拶,男性キャラ,
10,必死の自己肯定,I Am Fine (Denial) Huge Font,"Huge text for self-encouragement! Even when things are hard, use these stickers to say 'I'm fine'. A mix of tears and fake positivity.",大丈夫…大丈夫です！無理やり自分を鼓舞する社畜,「全然平気！」「やればできる！」など、ボロボロでも前を向こうとする切ないサラリーマンのデカ文字。空元気な態度は、同僚との会話で場を和ませたり、自分を励ますのに最適です。,©ryo,TRUE,ほんわか・癒し,男性キャラ,
11,現実逃避の休日,Escapism Weekend Huge Font,Escape from reality! Huge fonts for enjoying hobbies and forget about work. Perfect for sharing your weekend excitement and laziness.,現実逃避中！趣味に生きるサラリーマンのデカ文字,「仕事の話は聞かない」「現実逃避中…」など、休日の全力オタク活動やダラダラをデカ文字で。仕事のストレスを趣味で発散する、メリハリのある生活をアピールしたい時に。,©ryo,TRUE,ほんわか・癒し,男性キャラ,
12,イクメン・パパリーマン,Papademy Huge Font,Salaryman dad's daily struggle! Huge text for house chores and childcare. Perfect for communicating with family about coming home and kids.,家族のために！家事育児も頑張るパパリーマンの叫び,「今からスーパー寄る」「おむつ買った」など、仕事帰りに家事育児に励むパパの様子をデカ文字で。家族間での連絡をよりスムーズで温かいものにする、実用性重視のスタンプ。,©ryo,TRUE,ほんわか・癒し,男性キャラ,
13,PCトラブルとITの壁,PC Trouble Panic Huge Font,PC froze! Huge fonts for IT troubles in the office. Express your frustration with slow internet and system errors to your coworkers.,PCフリーズ！ITに振り回されるサラリーマンの嘆き,「再起動します」「パスワード忘れた」など、職場でのPCトラブルあるあるをデカ文字化。ITに疎い上司や、システムに泣かされる状況を面白おかしく伝え、周囲の助けを呼びます。,©ryo,TRUE,面白い・ネタ,男性キャラ,
14,季節と戦うスーツ,Hot Suit Salaryman Huge Font,Fighting the heat in a suit! Huge text for physical struggles with seasons. Express how the weather is too hot or cold for outside work.,スーツで酷暑…外回りで溶けそうなリーマンの訴え,「暑すぎて溶ける」「寒波無理」など、季節の過酷さに抗う外回りリーマンの声をデカ文字で。毎日の天気の話のついでに、「外回り大変だね」と共感を得られる使いやすいスタンプ。,©ryo,TRUE,ほんわか・癒し,男性キャラ,
15,明日への現実逃避,Slacking Off Today Huge Font,I'll do it tomorrow! Huge text for when you've lost your motivation. Perfect for joking with friends about being lazy at work.,明日から本気出す！やる気スイッチを見失った社畜,「やる気ゼロ」「今日はこれくらいで」など、仕事へのモチベーションが迷子になった時の本音デカ文字。親しい同僚との「サボりたい」気分の共有や、冗談まじりの弱音吐露に。,©ryo,TRUE,面白い・ネタ,男性キャラ,
